agent,contracts,total_surplus,average_surplus,surplus_per_contract
Ron Salcer,1,9708285.51,9708285.51,9708285.51
Sean Coffey,4,6563607.87,1640901.9675,1640901.9675
Justin Duberman,3,4829210.54,1609736.8466666667,1609736.8466666667
Shumi Babaev,3,3903227.93,1301075.9766666668,1301075.9766666668
Bayne Pettinger,1,3538719.95,3538719.95,3538719.95
Wade Arnott,16,3426441.8900000006,214152.61812500004,214152.61812500004
Marc Levine,1,3395485.18,3395485.18,3395485.18
Gregory Landry,3,3167668.9299999997,1055889.6433333333,1055889.6433333333
Dom De Blois,2,2986586.75,1493293.375,1493293.375
Paul Corbeil,2,2691134.16,1345567.08,1345567.08
Drew Shore,1,2229273.2,2229273.2,2229273.2
Blake Robson,2,2196525.16,1098262.58,1098262.58
Randy Robitaille,1,2116624.69,2116624.69,2116624.69
Stephen Screnci,1,2063534.62,2063534.62,2063534.62
Rick Komarow,4,1792911.15,448227.7875,448227.7875
Daniel Plante,3,1766937.4300000002,588979.1433333334,588979.1433333334
,3,1557089.64,519029.87999999995,519029.87999999995
John Thornton,1,1522469.65,1522469.65,1522469.65
Ryan Barnes,4,1503574.97,375893.7425,375893.7425
John Walters,3,1357035.2000000002,452345.0666666667,452345.0666666667
Tobin Wright,1,1259339.52,1259339.52,1259339.52
Richard Curran,3,994671.6900000001,331557.23000000004,331557.23000000004
Dean Grillo,7,980988.8200000001,140141.26,140141.26
Jeff Boston,1,978838.06,978838.06,978838.06
Jeff Helperl,1,934291.28,934291.28,934291.28
Shane Corston,1,865531.65,865531.65,865531.65
Thomas Lynn,2,796562.71,398281.355,398281.355
Kurt Overhardt (KO),1,770767.41,770767.41,770767.41
Andrew & Dave Maloney,2,752200.64,376100.32,376100.32
Matthew Oates,4,740479.2800000004,185119.8200000001,185119.8200000001
Simo Niiranen,2,632891.9900000001,316445.99500000005,316445.99500000005
Scott Norton,1,556065.17,556065.17,556065.17
Joe Caligiuri,1,525049.83,525049.83,525049.83
Kevin Magnuson,5,523680.2099999995,104736.0419999999,104736.0419999999
Todd Litwiniuk,1,417154.14,417154.14,417154.14
Chris Lepkowski,1,360743.51,360743.51,360743.51
Eddie Mio,1,268373.99,268373.99,268373.99
Doug Shepherd,2,239720.12,119860.06,119860.06
Patrik Aronsson,2,227797.06,113898.53,113898.53
Anthony Duclair,1,106690.19,106690.19,106690.19
Vlad Shushkovsky,1,91560.3,91560.3,91560.3
Jason Harshaw,1,88134.52,88134.52,88134.52
Peter MacTavish,2,10366.889999999898,5183.444999999949,5183.444999999949
Margaretha van der Stroom Holdener,1,-57863.89,-57863.89,-57863.89
Jordan Neumann & George Bazos,1,-123080.09,-123080.09,-123080.09
Peter Fish,8,-125869.80999999959,-15733.726249999949,-15733.726249999949
Shawn Hunwick,3,-140642.3500000001,-46880.78333333336,-46880.78333333336
David Kaye,1,-155263.79,-155263.79,-155263.79
Serge Payer,1,-218038.03,-218038.03,-218038.03
Robert Norton,1,-240908.2,-240908.2,-240908.2
