Agents(s),Number of Contracts,Avg Contract Value,Average Value Per Contract
Robert Murray,1,-1.1100524766709903,-1.1100524766709903
Drew Doughty,1,-0.9028579391650755,-0.9028579391650755
Renat Mamashev,1,-0.8901079186410037,-0.8901079186410037
Bryan Dube,1,-0.6992392612891578,-0.6992392612891578
Erik Lupien,1,-0.6810961469168966,-0.6810961469168966
William Kawam,1,-0.5481689422879903,-0.5481689422879903
Georges Mueller,1,-0.4479684144707434,-0.4479684144707434
Matthew Ebbs,1,-0.3833313389758395,-0.3833313389758395
Monir Kalgoum,1,-0.3338207905992725,-0.3338207905992725
Michael Kaye,2,-0.6221952877462771,-0.31109764387313854
David Kaye,1,-0.18521134123237637,-0.18521134123237637
Paul Theofanous,2,-0.35167680384771316,-0.17583840192385658
Jordan Neumann & George Bazos,1,-0.14705749644301314,-0.14705749644301314
Andre Rufener,2,-0.28751742499065625,-0.14375871249532812
Brian MacDonald,2,-0.22673466591846037,-0.11336733295923018
Eric Quinlan & Nicholas Martino,2,-0.16896019437444387,-0.08448009718722194
Serge Payer,1,-0.08260642554214215,-0.08260642554214215
Michael Deutsch,3,-0.23144976284089758,-0.07714992094696586
John Kofi Osei-Tutu & Bobby Gauthier,4,-0.27102123043326953,-0.06775530760831738
Margaretha van der Stroom Holdener,1,-0.0650823495958548,-0.0650823495958548
Markus Lehto,8,-0.46319671640499815,-0.05789958955062477
Donald Meehan,4,-0.2080693104289244,-0.0520173276072311
Michael Curran,5,-0.25492495864256776,-0.05098499172851355
Joakim Persson,3,-0.14571107369410718,-0.04857035789803573
Matt Federico,2,-0.0945065153647846,-0.0472532576823923
Robert Norton,1,-0.046973456327009444,-0.046973456327009444
Jason Davidson & Blake Evans,4,-0.13294890606177612,-0.03323722651544403
Jarrett Bousquet,2,-0.06437624997279201,-0.032188124986396005
Andy Scott,14,-0.39929354121620797,-0.02852096722972914
Allan Walsh,11,-0.1989343128519817,-0.018084937531998337
Claude Lemieux,12,-0.18361305821174767,-0.015301088184312306
Ian Pulver,16,-0.2336995511194171,-0.014606221944963568
Peter Wallen,12,-0.17337133102491364,-0.014447610918742804
Olivier Fortier,6,-0.07693234590887925,-0.012822057651479875
Darren Ferris,13,-0.15996325053259566,-0.012304865425584281
Judd Moldaver,14,-0.16258756422444393,-0.011613397444603138
Mark Gandler & Todd Diamond,12,-0.12334921655962727,-0.010279101379968939
Murray Koontz,8,-0.07711043187742361,-0.009638803984677952
Ben Hankinson,17,-0.147965225946187,-0.008703836820363941
David Gagner,14,-0.11882372955314313,-0.008487409253795939
Mika Rautakallio,5,-0.038150127597102214,-0.007630025519420443
Paul Capizzano,14,-0.08510223962396031,-0.006078731401711451
Patrick Morris,32,-0.1711206874031282,-0.005347521481347756
Gerry Johannson,23,-0.11349757114609506,-0.004934677006351959
Craig Oster,43,-0.14170978221160546,-0.003295576330502453
Brian & Scott Bartlett,33,-0.10583700121655126,-0.003207181855047008
Philippe Lecavalier,14,-0.015694753713870874,-0.0011210538367050625
Allain Roy,28,-0.029584040698218215,-0.001056572882079222
Pat Brisson,60,-0.026987973823399614,-0.0004497995637233269
Pete Rutili,6,0.0013296848706062885,0.0002216141451010481
Daniel Milstein,29,0.03881128020542321,0.001338320007083559
Jerry Buckley,5,0.008564036307733502,0.0017128072615467005
Richard Evans,12,0.03726083781037529,0.0031050698175312742
Joseph Resnick,8,0.03208179605454453,0.004010224506818066
Kurt Overhardt,17,0.07059299494464637,0.004152529114390963
J.P. Barry,45,0.18886608862099458,0.004197024191577657
Doug Shepherd,2,0.016669915325237206,0.008334957662618603
Kevin Epp,8,0.07076256211701826,0.008845320264627282
Matt & Ryan Keator,19,0.19270610263397592,0.010142426454419784
Wade Arnott,16,0.19712633563103654,0.012320395976939784
Ritchie Winter,3,0.040494814460405,0.013498271486801668
Robert Hooper,2,0.03179029513638554,0.01589514756819277
Ross Gurney,5,0.08171086306876489,0.016342172613752978
Neil Sheehy,6,0.10024859641929051,0.016708099403215087
Lewis Gross,13,0.22183106340306935,0.017063927954082257
Dean Grillo,7,0.15973420845279612,0.022819172636113733
Dave Cowan,5,0.11704388435157434,0.023408776870314868
Todd Reynolds,6,0.15764903823113782,0.026274839705189637
Rick Valette,3,0.08214705411241911,0.02738235137080637
Anthony Duclair,1,0.030027539439283046,0.030027539439283046
Peter Fish,8,0.26757377374307034,0.03344672171788379
Kevin Magnuson,5,0.16758022002455206,0.033516044004910414
Richard Curran,3,0.10527595804724339,0.0350919860157478
Shawn Hunwick,3,0.12466928201458434,0.04155642733819478
John Walters,3,0.12752473832174852,0.04250824610724951
Eustace King,4,0.17507305218901648,0.04376826304725412
Patrik Aronsson,2,0.10497856701410502,0.05248928350705251
Matthew Oates,4,0.23345842353471458,0.058364605883678644
Peter MacTavish,2,0.12972441175519211,0.06486220587759606
Ryan Barnes,4,0.28367719160768345,0.07091929790192086
Rick Komarow,4,0.3256526285948711,0.08141315714871777
Vlad Shushkovsky,1,0.09271245158217134,0.09271245158217134
Jason Harshaw,1,0.10770752571664666,0.10770752571664666
Daniel Plante,3,0.46097836893827093,0.153659456312757
Simo Niiranen,2,0.3130972959835905,0.15654864799179524
Andrew & Dave Maloney,2,0.328469766288741,0.1642348831443705
Thomas Lynn,2,0.35102849112712864,0.17551424556356432
Kurt Overhardt (KO),1,0.1940047569071961,0.1940047569071961
Stephen Screnci,1,0.19656478071916794,0.19656478071916794
Shumi Babaev,3,0.7242367307103438,0.2414122435701146
Gregory Landry,3,0.730244805391194,0.243414935130398
Sean Coffey,4,0.9779128620329973,0.24447821550824933
Justin Duberman,3,0.7869058884943622,0.26230196283145407
Jeff Helperl,1,0.2672178591777854,0.2672178591777854
Eddie Mio,1,0.2801604746170927,0.2801604746170927
Chris Lepkowski,1,0.33391285150897154,0.33391285150897154
Blake Robson,2,0.6804286404146884,0.3402143202073442
Paul Corbeil,2,0.6883933692963593,0.34419668464817965
John Thornton,1,0.4104459391120674,0.4104459391120674
Todd Litwiniuk,1,0.41058030591184824,0.41058030591184824
Joe Caligiuri,1,0.5172948475438695,0.5172948475438695
Scott Norton,1,0.5214022312278814,0.5214022312278814
Dom De Blois,2,1.0564033832309123,0.5282016916154562
Shane Corston,1,0.5430660923861161,0.5430660923861161
Marc Levine,1,0.723234541197634,0.723234541197634
Jeff Boston,1,0.7360140489408842,0.7360140489408842
Tobin Wright,1,0.763071533764883,0.763071533764883
Randy Robitaille,1,1.2388630795381363,1.2388630795381363
Drew Shore,1,1.3549279262234961,1.3549279262234961
Bayne Pettinger,1,1.512645023594855,1.512645023594855
Ron Salcer,1,2.371017789007677,2.371017789007677
0,0,#DIV/0!,#DIV/0!
