signing_gm,contracts,total_surplus,average_surplus,surplus_per_contract
Steve Staios,16,9990754.209999999,624422.1381249999,624422.1381249999
Kyle Dubas,17,8941803.45,525988.4382352941,525988.4382352941
Jeff Jackson,4,7882274.93,1970568.7325,1970568.7325
Barry Trotz,22,6382343.859999999,290106.53909090906,290106.53909090906
Mike Grier,18,3783899.5300000003,210216.64055555558,210216.64055555558
Ron Hextall,4,3527395.1899999995,881848.7974999999,881848.7974999999
Eric Tulsky,15,3102793.95,206852.93000000002,206852.93000000002
Chris MacFarland,18,1108004.609999999,61555.81166666661,61555.81166666661
Chris Patrick,9,377042.9599999995,41893.66222222216,41893.66222222216
Brent Flahr,1,-24220.27,-24220.27,-24220.27
John Davidson,1,-168556.7,-168556.7,-168556.7
Kelly McCrimmon,17,-291743.0,-17161.352941176472,-17161.352941176472
Bob Murray,2,-527756.5900000001,-263878.29500000004,-263878.29500000004
Dale Tallon,1,-725745.46,-725745.46,-725745.46
Kyle Davidson,23,-1229559.0900000005,-53459.09086956524,-53459.09086956524
Jim Rutherford,1,-1412685.72,-1412685.72,-1412685.72
Bill Armstrong,26,-1826690.399999999,-70257.32307692304,-70257.32307692304
John Chayka,2,-2261772.91,-1130886.455,-1130886.455
Ken Holland,14,-2773375.8200000003,-198098.27285714287,-198098.27285714287
Steve Yzerman,29,-3209129.66,-110659.64344827586,-110659.64344827586
Ray Shero,1,-3648013.23,-3648013.23,-3648013.23
David Poile,8,-3737612.0100000002,-467201.50125000003,-467201.50125000003
Brian MacLellan,15,-4850749.78,-323383.3186666667,-323383.3186666667
Doug Wilson,3,-4989883.1899999995,-1663294.3966666665,-1663294.3966666665
Bill Zito,21,-5077091.919999999,-241766.28190476185,-241766.28190476185
Peter Chiarelli,1,-5209613.7,-5209613.7,-5209613.7
Jim Benning,2,-5479982.34,-2739991.17,-2739991.17
Pat Verbeek,22,-6059860.32,-275448.19636363635,-275448.19636363635
George McPhee,3,-6282914.48,-2094304.826666667,-2094304.826666667
Jason Botterill,8,-6593319.9799999995,-824164.9974999999,-824164.9974999999
Jeff Gorton,3,-7540003.21,-2513334.4033333333,-2513334.4033333333
Daniel Briere,21,-8009411.2,-381400.5333333333,-381400.5333333333
Marc Bergevin,3,-8338099.42,-2779366.473333333,-2779366.473333333
Craig Conroy,16,-8523500.98,-532718.81125,-532718.81125
Kent Hughes,15,-8570007.03,-571333.8019999999,-571333.8019999999
Joe Sakic,3,-9387530.05,-3129176.6833333336,-3129176.6833333336
Mathieu Darche,11,-11153529.370000001,-1013957.2154545456,-1013957.2154545456
Jarmo Kekalainen,8,-11674765.75,-1459345.71875,-1459345.71875
Bill Guerin,22,-12419231.110000001,-564510.505,-564510.505
Lou Lamoriello,12,-14029195.22,-1169099.6016666668,-1169099.6016666668
Julien BriseBois,23,-14641642.09,-636593.1343478261,-636593.1343478261
Don Waddell,21,-16616658.91,-791269.4719047619,-791269.4719047619
Rob Blake,17,-16988223.86,-999307.2858823529,-999307.2858823529
Chuck Fletcher,7,-17661752.85,-2523107.5500000003,-2523107.5500000003
Ron Francis,17,-17899012.86,-1052883.1094117647,-1052883.1094117647
Don Sweeney,23,-18266066.47,-794176.8030434782,-794176.8030434782
Doug Armstrong,22,-18605790.13,-845717.7331818182,-845717.7331818182
Kevin Cheveldayoff,25,-19308595.23,-772343.8092,-772343.8092
Stan Bowman,13,-20055457.89,-1542727.53,-1542727.53
Jim Nill,27,-20313727.83,-752360.2899999999,-752360.2899999999
Chris Drury,25,-21868458.669999998,-874738.3467999999,-874738.3467999999
Patrik Allvin,27,-23139860.96,-857031.8874074074,-857031.8874074074
Kevyn Adams,26,-26547716.7,-1021066.026923077,-1021066.026923077
Pierre Dorion,9,-27766638.81,-3085182.09,-3085182.09
Tom Fitzgerald,23,-28444702.49,-1236726.1952173912,-1236726.1952173912
Brad Treliving,27,-40522113.94,-1500819.0348148148,-1500819.0348148148
