GM,Number of Contracts,Avg Contract Value,Average Value Per Contract
Jeff Jackson,4,0.6933395042419987,0.1733348760604997
Bob Murray,2,0.3051200061716681,0.15256000308583406
Chris Patrick,9,0.2803111326405211,0.031145681404502343
Ron Hextall,4,0.1143143180880104,0.0285785795220026
Kyle Dubas,17,0.3689422309832452,0.02170248417548501
Steve Staios,16,0.2984834048909899,0.01865521280568687
Doug Wilson,3,0.04824875560544051,0.016082918535146835
Barry Trotz,22,0.34101946862198224,0.01550088493736283
Eric Tulsky,15,0.2289438565066997,0.015262923767113313
Chris MacFarland,18,0.1999623307432717,0.011109018374626205
Kelly McCrimmon,17,0.16838979620678884,0.009905282129811108
Mike Grier,18,0.17649291876668205,0.009805162153704559
Bill Zito,21,0.17820702177480582,0.008486048655943134
Pat Verbeek,22,0.1428311813790527,0.0064923264263205775
Kyle Davidson,23,0.13755483627204737,0.005980645055306408
Jim Nill,27,0.13334630415454396,0.0049387520057238505
Bill Armstrong,26,0.0877557833630706,0.0033752224370411773
Julien BriseBois,23,0.07364785466972712,0.0032020806378142224
Ken Holland,14,0.043075143652761536,0.0030767959751972526
Steve Yzerman,29,0.07786287474926554,0.002684926715491915
Daniel Briere,21,0.04000753739926414,0.0019051208285363874
Kent Hughes,15,-0.0037965836669580236,-0.0002531055777972016
Bill Guerin,22,-0.006482207649357686,-0.00029464580224353116
Don Sweeney,23,-0.03244238583404315,-0.0014105385145236154
Doug Armstrong,22,-0.03381767554765949,-0.0015371670703481588
Brian MacLellan,15,-0.028464897810663223,-0.0018976598540442148
Don Waddell,21,-0.048230137366378635,-0.002296673207922792
Rob Blake,17,-0.0619926388694165,-0.0036466258158480295
Kevin Cheveldayoff,25,-0.10515757758123584,-0.004206303103249434
Chris Drury,25,-0.10783076701035448,-0.004313230680414179
Kevyn Adams,26,-0.13255617366284483,-0.005098314371647878
Jason Botterill,8,-0.04246976107999134,-0.005308720134998918
Tom Fitzgerald,23,-0.13542665163513118,-0.005888115288483964
Patrik Allvin,27,-0.16746397456470372,-0.0062023694283223595
Brad Treliving,27,-0.20129903525383583,-0.007455519824216141
David Poile,8,-0.06434805821926481,-0.008043507277408102
Craig Conroy,16,-0.14188876303633657,-0.008868047689771036
Ron Francis,17,-0.19940816052846877,-0.01172989179579228
Lou Lamoriello,12,-0.14148284735293393,-0.011790237279411161
Stan Bowman,13,-0.15521199850875542,-0.011939384500673493
Mathieu Darche,11,-0.1905644331292285,-0.017324039375384407
Jarmo Kekalainen,8,-0.18479275631229752,-0.02309909453903719
Brent Flahr,1,-0.028567328352629318,-0.028567328352629318
Pierre Dorion,9,-0.6393952940340151,-0.071043921559335
Chuck Fletcher,7,-0.6499726928723327,-0.09285324183890467
John Chayka,2,-0.18619954575991127,-0.09309977287995563
Jeff Gorton,3,-0.3815733673746469,-0.12719112245821565
George McPhee,3,-0.3831848599778282,-0.12772828665927607
Dale Tallon,1,-0.16119141465520315,-0.16119141465520315
Marc Bergevin,3,-0.5562492540974091,-0.1854164180324697
Joe Sakic,3,-0.6253764216938418,-0.2084588072312806
John Davidson,1,-0.22199779510186346,-0.22199779510186346
Jim Benning,2,-0.5363555965003899,-0.26817779825019494
Jim Rutherford,1,-0.38722979078054465,-0.38722979078054465
Peter Chiarelli,1,-0.539172109130952,-0.539172109130952
Ray Shero,1,-0.69951589533229,-0.69951589533229
