 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Olen Zellweger,ANA,D,ELC,844167,13.646105621303521,14.593650880272286,0.9475452589687645,Dave Cowan,Bob Murray,22,76,1.03,14.04,4.6,1.02,2.98,0.88,1.53,3.95
Ryan Poehling,ANA,C,STD,1900000,14.457364444136669,14.921615011711237,0.4642505675745685,Dean Grillo,Daniel Briere,27,75,1.9100000000000001,9.77,5.2,2.87,2.55,0.9,2.34,4.57
Chris Kreider,ANA,L,STD,6500000,15.687312734865866,15.387870050032614,-0.2994426848332523,Matt & Ryan Keator,Jeff Gorton,35,75,2.34,13.42,9.15,5.91,3.19,0.8,3.24,0.94
Jacob Trouba,ANA,D,STD,8000000,15.89495209964411,15.23925468776885,-0.6556974118752592,Kurt Overhardt,Jeff Gorton,32,81,1.1300000000000001,11.2,2.34,0.55,2.89,0.71,4.64,4.87
Ross Johnston,ANA,L,STD,1100000,13.9108207377686,14.249747587488052,0.33892684971945286,Doug Shepherd,Lou Lamoriello,32,62,1.3900000000000001,7.15,4.57,2.58,3.38,0.5,19.07,1.59
Alex Killorn,ANA,L,STD,6250000,15.648092021712584,15.420366566866926,-0.22772545484565754,Matt & Ryan Keator,Pat Verbeek,36,82,1.4500000000000002,11.43,6.57,3.37,2.8,0.92,3.07,1.31
Beckett Sennecke,ANA,R,ELC,942500,13.756291198304304,14.50686219897788,0.7505710006735757,Ian Pulver,Pat Verbeek,20,82,2.51,16.27,9.77,5.41,4.03,1.09,4.07,1.01
Cutter Gauthier,ANA,L,ELC,950000,13.764217263576723,15.283578893408402,1.5193616298316783,Kurt Overhardt,Pat Verbeek,22,76,3.16,25.58,11.71,3.34,3.39,0.87,2.93,0.92
Drew Helleson,ANA,D,STD,1100000,13.9108207377686,14.388704571914685,0.4778838341460858,Pat Brisson,Pat Verbeek,25,60,0.89,7.49,2,0.29,2.53,1.47,3.71,4.66
Frank Vatrano,ANA,R,STD,4571189,15.335283904085431,14.69384422366337,-0.6414396804220601,Peter Fish,Pat Verbeek,32,50,0.9199999999999999,15.02,7.61,3.35,1.73,0.61,8.53,2.84
Ian Moore,ANA,D,ELC,925000,13.737549016494562,14.491358649936055,0.7538096334414934,Matt & Ryan Keator,Pat Verbeek,24,67,0.78,10.81,4.06,1.24,2.62,1.38,2.75,5.24
Jackson LaCombe,ANA,D,STD,925000,13.737549016494562,14.90780630462667,1.1702572881321078,Pat Brisson,Pat Verbeek,25,82,1.75,10.53,3.89,1.15,3.32,1.57,2.23,3.86
Jansen Harkins,ANA,C,STD,787500,13.576618649681926,14.068338638529003,0.4917199888470769,Kurt Overhardt,Pat Verbeek,29,44,1.14,11.09,6.26,3.13,3.84,0.85,16.07,3.41
Leo Carlsson,ANA,C,ELC,950000,13.764217263576723,14.803901508852503,1.0396842452757795,Matt & Ryan Keator,Pat Verbeek,21,70,3,16.34,10.25,4.52,3.49,1.52,0.63,1.3
Mason McTavish,ANA,C,STD,7000000,15.761420707019587,14.613871783175579,-1.147548923844008,Patrick Morris,Pat Verbeek,23,75,2.14,16.97,9.45,5.17,2.87,0.84,4.96,1.72
Mikael Granlund,ANA,C,STD,7000000,15.761420707019587,15.35176440076812,-0.4096563062514669,Mark Gandler & Todd Diamond,Pat Verbeek,34,58,2.2199999999999998,11.92,6.91,3.02,2.59,1.13,1.73,2.21
