player,display_name,slug,team,position,contract_type,actual_cap_hit,predicted_log_cap_hit,predicted_market_value,contract_surplus,log_contract_surplus,agent,signing_gm,age,games_played,goals,assists,points,plus_minus,pim,points_per_60,icf_per_60,iscf_per_60,ihdcf_per_60,giveaways_per_60,takeaways_per_60,hits_per_60,shots_blocked_per_60,r2
Olen Zellweger,Olen Zellweger,olen-zellweger-ana-d-elc,ANA,D,ELC,844167,14.593650880272286,2177419.2000561496,1333252.2000561496,0.9475452589687645,Dave Cowan,Bob Murray,22,76,7,15,22,4,34,1.03,14.04,4.6,1.02,2.98,0.88,1.53,3.95,0.4695442670482678
Ryan Poehling,Ryan Poehling,ryan-poehling-ana-c-std,ANA,C,STD,1900000,14.921615011711237,3022560.9047144814,1122560.9047144814,0.4642505675745685,Dean Grillo,Daniel Briere,27,75,11,25,36,8,12,1.9100000000000001,9.77,5.2,2.87,2.55,0.9,2.34,4.57,0.4695442670482678
Chris Kreider,Chris Kreider,chris-kreider-ana-l-std,ANA,L,STD,6500000,15.387870050032614,4818002.8323857635,-1681997.1676142365,-0.2994426848332523,Matt & Ryan Keator,Jeff Gorton,35,75,22,28,50,-4,34,2.34,13.42,9.15,5.91,3.19,0.8,3.24,0.94,0.4695442670482678
Jacob Trouba,Jacob Trouba,jacob-trouba-ana-d-std,ANA,D,STD,8000000,15.23925468776885,4152639.390549661,-3847360.609450339,-0.6556974118752592,Kurt Overhardt,Jeff Gorton,32,81,10,25,35,-1,31,1.1300000000000001,11.2,2.34,0.55,2.89,0.71,4.64,4.87,0.4695442670482678
Ross Johnston,Ross Johnston,ross-johnston-ana-l-std,ANA,L,STD,1100000,14.249747587488052,1543784.74731616,443784.74731616,0.33892684971945286,Doug Shepherd,Lou Lamoriello,32,62,3,11,14,0,107,1.3900000000000001,7.15,4.57,2.58,3.38,0.5,19.07,1.59,0.4695442670482678
Alex Killorn,Alex Killorn,alex-killorn-ana-l-std,ANA,L,STD,6250000,15.420366566866926,4977142.886874634,-1272857.1131253662,-0.22772545484565754,Matt & Ryan Keator,Pat Verbeek,36,82,15,18,33,-2,40,1.4500000000000002,11.43,6.57,3.37,2.8,0.92,3.07,1.31,0.4695442670482678
Beckett Sennecke,Beckett Sennecke,beckett-sennecke-ana-r-elc,ANA,R,ELC,942500,14.50686219897788,1996412.1429408644,1053912.1429408644,0.7505710006735757,Ian Pulver,Pat Verbeek,20,82,23,37,60,-12,62,2.51,16.27,9.77,5.41,4.03,1.09,4.07,1.01,0.4695442670482678
Cutter Gauthier,Cutter Gauthier,cutter-gauthier-ana-l-elc,ANA,L,ELC,950000,15.283578893408402,4340841.9866848085,3390841.9866848085,1.5193616298316783,Kurt Overhardt,Pat Verbeek,22,76,41,28,69,-2,28,3.16,25.58,11.71,3.34,3.39,0.87,2.93,0.92,0.4695442670482678
Drew Helleson,Drew Helleson,drew-helleson-ana-d-std,ANA,D,STD,1100000,14.388704571914685,1773923.9503619366,673923.9503619366,0.4778838341460858,Pat Brisson,Pat Verbeek,25,60,2,13,15,-4,20,0.89,7.49,2.0,0.29,2.53,1.47,3.71,4.66,0.4695442670482678
Frank Vatrano,Frank Vatrano,frank-vatrano-ana-r-std,ANA,R,STD,4571189,14.69384422366337,2406885.686818441,-2164303.313181559,-0.6414396804220601,Peter Fish,Pat Verbeek,32,50,5,4,9,-15,40,0.9199999999999999,15.02,7.61,3.35,1.73,0.61,8.53,2.84,0.4695442670482678
Ian Moore,Ian Moore,ian-moore-ana-d-elc,ANA,D,ELC,925000,14.491358649936055,1965699.363093971,1040699.363093971,0.7538096334414934,Matt & Ryan Keator,Pat Verbeek,24,67,4,8,12,-14,24,0.78,10.81,4.06,1.24,2.62,1.38,2.75,5.24,0.4695442670482678
Jackson LaCombe,Jackson LaCombe,jackson-lacombe-ana-d-std,ANA,D,STD,925000,14.90780630462667,2981110.096225043,2056110.0962250428,1.1702572881321078,Pat Brisson,Pat Verbeek,25,82,10,48,58,-2,19,1.75,10.53,3.89,1.15,3.32,1.57,2.23,3.86,0.4695442670482678
