Team,Number of Contracts,Avg Contract Value,Average Value Per Contract
PIT,22,0.19906381397501652,0.009048355180682569
ANA,27,0.18262486604508504,0.0067638839275957425
S.J,25,0.15524696183255685,0.0062098784733022735
NSH,23,0.1365248447014622,0.005935862813107052
FLA,27,0.14608282595569083,0.005410475035395957
COL,22,0.11707284566485456,0.0053214929847661165
EDM,22,0.09649116582108576,0.004385962082776625
DET,26,0.10686127618843824,0.004110049084170702
DAL,27,0.10170023334762582,0.0037666753091713267
CAR,21,0.07803335112720967,0.0037158738632004605
T.B,26,0.07774146210615446,0.0029900562348520944
CHI,28,0.04243953385271241,0.0015156976375968717
MIN,27,0.04025539041845511,0.001490940385868708
UTA,24,0.029066152113146632,0.0012110896713811096
BUF,30,0.03329391327182532,0.001109797109060844
WSH,21,0.018258305894832884,0.000869443137849185
BOS,24,-2.2330373599258973e-05,-9.304322333024572e-07
L.A,26,-0.002708643360239904,-0.00010417859077845784
OTT,25,-0.025736157993027007,-0.0010294463197210802
CBJ,27,-0.03949691988187071,-0.00146284888451373
SEA,24,-0.06138655589867777,-0.002557773162444907
NYR,23,-0.06556344797495876,-0.0028505846945634243
VGK,20,-0.06824898562220091,-0.0034124492811100455
STL,20,-0.08388843359035433,-0.004194421679517717
PHI,25,-0.1085715255523403,-0.004342861022093612
NYI,23,-0.11113214707816146,-0.004831832481659194
N.J,25,-0.1432623386877998,-0.005730493547511992
WPG,22,-0.13723717294328466,-0.006238053315603848
CGY,25,-0.1787069830122686,-0.007148279320490744
TOR,21,-0.20745535386751054,-0.00987882637464336
MTL,21,-0.22735474282455265,-0.010826416324978697
VAN,21,-0.24947229895529535,-0.011879633283585492
